gameweek,player_id,player_name,team_id,position_id,overall_team_strength,team_position_relevant_strength,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xx,season_points,season_bps,season_influence,season_creativity,season_threat,season_xx,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
6,605,Luca Koleosho,6,3,1045,1050,19,1,14,Man Utd,9,21,29.4,51.6,29.0,0.55,11,25,29.6,73.3,35.0,0.64,4.2,1.62,72,2,0
6,611,Axel Disasi,7,2,1125,1170,13,1,2,Aston Villa,13,65,60.4,16.200000000000003,25.0,0.16999999999999993,24,98,120.0,20.8,64.0,-2.91,1.91,1.73,90,2,0
6,614,Thomas Kaminski,12,1,1055,1090,14,1,20,Wolves,4,34,53.6,0.0,0.0,-1.63,7,60,113.60000000000001,0.0,0.0,-5.73,3.25,2.02,90,2,0
6,616,Joško Gvardiol,13,2,1355,1360,14,1,16,Nott'm Forest,3,29,27.8,60.0,15.0,0.8300000000000001,10,60,45.8,63.0,17.0,0.4700000000000002,1.14,1.4,90,7,1
6,617,Rasmus Højlund,14,4,1220,1210,19,2,6,Burnley,3,5,3.2,20.9,24.0,0.42000000000000004,3,5,3.2,20.9,24.0,0.42000000000000004,1.73,1.62,90,2,0
6,631,Jacob Brown,12,4,1055,1020,14,1,20,Wolves,3,12,14.2,24.8,21.0,0.6200000000000001,7,22,19.4,25.1,44.0,0.74,3.25,2.02,71,2,0
6,638,Vini de Souza Costa,17,3,1030,1045,15,1,15,Newcastle,5,29,43.599999999999994,3.8999999999999995,12.0,0.01,7,40,63.39999999999999,16.200000000000003,20.0,0.06999999999999999,7.0,1.67,90,2,0
6,639,Micky van de Ven,18,2,1230,1310,13,2,1,Arsenal,8,53,62.199999999999996,3.2,2.0,-0.08999999999999986,16,101,90.80000000000001,8.5,10.0,-4.1,4.33,1.5,90,1,0
6,642,Edson Álvarez Velázquez,19,3,1145,1140,13,2,11,Liverpool,4,25,54.800000000000004,14.6,5.0,0.18,5,29,57.0,14.7,5.0,0.18,7.0,1.4,90,1,0
6,643,Max Aarons,3,2,1100,1075,13,2,5,Brighton,7,48,50.2,36.0,4.0,-4.56,10,80,81.8,56.1,6.0,-8.52,7.5,1.36,90,1,0
6,663,Gustavo Hamer,17,3,1030,1045,15,1,15,Newcastle,14,55,70.0,79.1,47.0,0.78,20,79,112.8,100.60000000000001,60.0,0.92,7.0,1.67,65,2,0
6,664,James Ward-Prowse,19,3,1145,1140,13,2,11,Liverpool,20,83,128.4,52.6,75.0,1.85,29,113,176.0,77.7,77.0,2.0,7.0,1.4,90,2,0
6,672,Nicolò Zaniolo,2,3,1285,1220,13,2,7,Chelsea,2,1,15.600000000000001,54.8,35.0,0.62,2,1,15.600000000000001,54.8,35.0,0.62,3.8,1.73,74,3,0
6,675,Aaron Ramsey,6,3,1045,1050,19,1,14,Man Utd,1,3,1.2,1.0,0.0,0.01,1,3,1.2,1.0,0.0,0.01,4.2,1.62,72,2,0
6,688,Timothy Castagne,10,2,1175,1170,14,2,8,Crystal Palace,9,37,24.4,19.700000000000003,10.0,1.03,9,37,24.4,19.700000000000003,10.0,1.03,4.2,2.0,90,6,1
