gameweek,player_id,player_name,team_id,overall_team_strength,team_position_relevant_strength,position_id,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xx,season_points,season_bps,season_influence,season_creativity,season_threat,season_xx,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
28,39,Keinan Davis,2,1160,1140,4,13,1,18,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.3,1.29,-1,-1,-1
28,40,Leander Dendoncker,2,1160,1140,3,13,1,18,NULL,0,0,0.0,0.0,0.0,0.0,20,64,59.2,3.9,37.0,0.74,2.3,1.29,-1,-1,-1
28,41,Diego Carlos Santos Silva,2,1160,1180,2,13,1,18,NULL,0,3,3.0,0.0,2.0,2.01,38,222,235.59999999999997,43.60000000000001,65.0,-14.689999999999998,2.3,1.29,-1,-1,-1
28,42,Lucas Digne,2,1160,1180,2,13,1,18,NULL,8,27,42.8,3.9,45.0,0.71,66,308,317.59999999999997,471.50000000000006,161.0,-20.87,2.3,1.29,-1,-1,-1
28,43,Douglas Luiz Soares de Paulo,2,1160,1140,3,13,1,18,NULL,21,80,102.39999999999999,50.900000000000006,42.0,0.7799999999999999,134,580,692.4000000000001,672.0,352.0,10.010000000000002,2.3,1.29,-1,-1,-1
28,44,Jhon Durán,2,1160,1140,4,13,1,18,NULL,0,0,0.0,0.0,0.0,0.0,24,72,81.20000000000002,30.5,103.0,1.27,2.3,1.29,-1,-1,-1
28,45,Kortney Hause,2,1160,1180,2,13,1,18,NULL,0,0,0.0,0.0,0.0,2.5,0,0,0.0,0.0,0.0,2.5,2.3,1.29,-1,-1,-1
28,46,Tim Iroegbunam,2,1160,1140,3,13,1,18,NULL,2,7,2.6,0.4,0.0,0.0,4,12,4.4,1.4000000000000001,0.0,0.0,2.3,1.29,-1,-1,-1
28,47,Boubacar Kamara,2,1160,1140,3,13,1,18,NULL,0,0,0.0,0.0,0.0,0.0,40,247,256.2,292.7,44.0,1.5200000000000005,2.3,1.29,-1,-1,-1
28,48,Ezri Konsa Ngoyo,2,1160,1180,2,13,1,18,NULL,2,26,22.2,1.3,5.0,-0.9199999999999999,60,391,386.3999999999999,118.29999999999998,157.0,-28.749999999999996,2.3,1.29,-1,-1,-1
28,49,Emiliano Martínez Romero,2,1160,1180,1,13,1,18,NULL,2,44,39.6,0.0,0.0,-3.9899999999999993,86,493,642.0,20.0,0.0,-35.089999999999996,2.3,1.29,-1,-1,-1
28,50,John McGinn,2,1160,1140,3,13,1,18,NULL,7,54,69.6,90.7,2.0,0.66,101,410,537.8,562.7,338.0,8.65,2.3,1.29,-1,-1,-1
