gameweek,player_id,player_name,team_id,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,position_id,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xg,recent_xa,recent_xgi,recent_xgc,season_points,season_bps,season_influence,season_creativity,season_threat,season_xg,season_xa,season_xgi,season_xgc,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
28,498,Fraser Forster,18,1170,1230,1110,1150,1230,1310,1,13,2,2,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.29,-1,-1,-1
28,499,Pierre-Emile Højbjerg,18,1170,1230,1110,1150,1230,1310,3,13,2,2,NULL,2,6,7.6,2.9000000000000004,0.0,0.0,0.02,0.02,0.12,29,160,210.20000000000005,119.59999999999998,70.0,0.41000000000000003,1.2300000000000002,1.6300000000000003,22.17,2.6,1.29,-1,-1,-1
28,500,Harry Kane,18,1170,1230,1110,1150,1230,1310,4,13,2,2,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.29,-1,-1,-1
28,501,Dejan Kulusevski,18,1170,1230,1110,1150,1230,1310,3,13,2,2,NULL,11,49,67.2,54.7,69.0,0.47,0.66,1.13,1.8,94,340,503.99999999999994,714.2000000000002,698.0,3.41,5.17,8.569999999999999,36.63999999999999,2.6,1.29,-1,-1,-1
28,502,Hugo Lloris,18,1170,1230,1110,1150,1230,1310,1,13,2,2,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.29,-1,-1,-1
28,503,Giovani Lo Celso,18,1170,1230,1110,1150,1230,1310,3,13,2,2,NULL,2,8,3.2,17.1,4.0,0.0,0.19,0.19,0.12,38,148,183.6,174.1,79.0,0.42000000000000004,1.02,1.44,10.33,2.6,1.29,-1,-1,-1
28,504,James Maddison,18,1170,1230,1110,1150,1230,1310,3,13,2,2,NULL,7,37,41.8,63.2,21.0,0.02,0.88,0.9,1.68,83,318,433.4000000000001,618.3000000000001,397.0,3.44,4.390000000000001,7.83,17.9,2.6,1.29,-1,-1,-1
28,505,Tanguy Ndombélé Alvaro,18,1170,1230,1110,1150,1230,1310,3,13,2,2,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.29,-1,-1,-1
28,506,Pedro Porro,18,1170,1230,1110,1150,1230,1310,2,13,2,2,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,510,576.9999999999999,653.4000000000001,210.0,2.2100000000000004,4.7299999999999995,6.9399999999999995,39.669999999999995,2.6,1.29,-1,-1,-1
28,507,Ivan Perišić,18,1170,1230,1110,1150,1230,1310,2,13,2,2,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,34,41.6,71.2,27.0,0.12,0.8,0.9199999999999999,1.44,2.6,1.29,-1,-1,-1
28,508,Sergio Reguilón,4,1100,1100,1110,1055,1090,1150,2,17,2,1,NULL,8,43,53.2,72.9,46.0,0.44,0.36,0.8,7.529999999999999,40,184,185.4,228.5,86.0,0.74,1.3000000000000003,2.04,16.81,12.0,1.4,-1,-1,-1
28,509,Richarlison de Andrade,18,1170,1230,1110,1150,1230,1310,3,13,2,2,NULL,2,2,0.0,0.8,28.0,0.43,0.02,0.45,1.24,107,262,502.99999999999994,194.3,675.0,8.649999999999999,1.2000000000000002,9.849999999999998,22.65,2.6,1.29,-1,-1,-1
28,510,Joe Rodon,18,1170,1230,1110,1150,1230,1310,2,13,2,2,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.29,-1,-1,-1
28,511,Cristian Romero,18,1170,1230,1110,1150,1230,1310,2,13,2,2,NULL,11,44,71.0,11.899999999999999,36.0,0.2,0.1,0.3,1.8,78,395,542.6,109.5,143.0,1.47,0.8900000000000001,2.3600000000000003,32.730000000000004,2.6,1.29,-1,-1,-1
28,512,Davinson Sánchez,18,1170,1230,1110,1150,1230,1310,2,13,2,2,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,17.0,5.0,4.0,0.12,0.03,0.15,2.02,2.6,1.29,-1,-1,-1
28,513,Pape Matar Sarr,18,1170,1230,1110,1150,1230,1310,3,13,2,2,NULL,3,12,7.2,17.2,3.0,0.02,0.04,0.06,1.24,65,291,318.59999999999997,269.0,264.0,2.48,1.1600000000000001,3.6399999999999997,22.279999999999998,2.6,1.29,-1,-1,-1
28,514,Ryan Sessegnon,18,1170,1230,1110,1150,1230,1310,2,13,2,2,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.29,-1,-1,-1
28,515,Oliver Skipp,18,1170,1230,1110,1150,1230,1310,3,13,2,2,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,87,76.60000000000001,117.29999999999998,56.0,0.72,0.32,1.04,14.909999999999998,2.6,1.29,-1,-1,-1
28,516,Son Heung-min,18,1170,1230,1110,1150,1230,1310,3,13,2,2,NULL,9,32,39.2,62.2,45.0,0.5,0.4,0.9,1.8,149,490,690.8,570.3,734.0,7.54,5.050000000000001,12.589999999999998,34.63999999999999,2.6,1.29,-1,-1,-1
28,517,Djed Spence,18,1170,1230,1110,1150,1230,1310,2,13,2,2,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.29,-1,-1,-1
