player_value,opposition_team_strength,team_strength,recent_points,recent_bps,season_points,season_bps,season_minutes,win_odds,over_two_point_five_goals,home_or_away_id_-1,home_or_away_id_1,home_or_away_id_2,position_id_1,position_id_2,position_id_3,position_id_4,over_four_points
57,1305.0,1222.5,5.0,13.333333333333332,5.0,13.333333333333334,35.666666666666664,4.5,1.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
57,1305.0,1222.5,0.0,0.0,0.0,0.0,0.0,4.5,1.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
46,1305.0,1222.5,7.333333333333334,24.333333333333336,7.333333333333333,24.33333333333333,88.66666666666667,4.5,1.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
38,1305.0,1222.5,0.0,0.0,0.0,0.0,0.0,4.5,1.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
58,1305.0,1222.5,0.6666666666666666,2.333333333333333,0.6666666666666666,2.333333333333333,8.0,4.5,1.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
49,1305.0,1222.5,0.0,0.0,0.0,0.0,0.0,4.5,1.4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
49,1305.0,1222.5,0.0,0.0,0.0,0.0,0.0,4.5,1.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
44,1305.0,1222.5,1.0,8.0,1.0,8.0,47.333333333333336,4.5,1.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
46,1305.0,1222.5,4.666666666666667,20.333333333333336,4.666666666666667,20.33333333333333,86.66666666666667,4.5,1.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
57,1305.0,1222.5,3.333333333333333,17.333333333333336,3.333333333333333,17.333333333333332,79.33333333333333,4.5,1.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
50,1305.0,1222.5,2.666666666666667,11.333333333333334,2.6666666666666665,11.333333333333334,6.666666666666667,4.5,1.4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
39,1305.0,1222.5,0.0,0.0,0.0,0.0,0.0,4.5,1.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
44,1305.0,1222.5,0.0,0.0,0.0,0.0,0.0,4.5,1.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
50,1305.0,1222.5,2.6666666666666665,15.0,2.6666666666666665,15.0,90.0,4.5,1.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
45,1305.0,1222.5,2.6666666666666665,19.0,2.6666666666666665,19.0,90.0,4.5,1.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
53,1305.0,1222.5,3.0,16.333333333333336,3.0,16.333333333333332,60.0,4.5,1.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
53,1305.0,1222.5,4.666666666666667,18.333333333333336,4.666666666666667,18.33333333333333,81.0,4.5,1.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
41,1305.0,1222.5,0.0,1.6666666666666667,0.0,1.6666666666666667,10.0,4.5,1.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
43,1122.5,1072.5,1.0,6.666666666666666,1.0,6.666666666666667,60.0,4.75,1.87,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
39,1305.0,1222.5,0.6666666666666666,4.0,0.6666666666666666,4.0,30.0,4.5,1.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
45,1305.0,1222.5,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,4.5,1.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
59,1305.0,1222.5,0.0,0.0,0.0,0.0,0.0,4.5,1.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
45,1305.0,1222.5,0.0,0.0,0.0,0.0,0.0,4.5,1.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
40,1305.0,1222.5,0.0,0.0,0.0,0.0,0.0,4.5,1.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
56,1305.0,1222.5,1.0,5.0,1.0,5.0,25.33333333333333,4.5,1.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
50,1305.0,1222.5,0.3333333333333333,1.0,0.3333333333333333,1.0,3.0,4.5,1.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
90,1305.0,1222.5,5.0,12.333333333333332,5.0,12.333333333333334,82.66666666666667,4.5,1.4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
50,1305.0,1222.5,0.0,0.0,0.0,0.0,0.0,4.5,1.4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
49,1100.0,1100.0,1.0,1.3333333333333333,1.0,1.3333333333333333,50.333333333333336,4.75,1.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
51,1100.0,1100.0,2.0,8.333333333333334,2.0,8.333333333333334,88.33333333333333,4.75,1.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
47,1100.0,1100.0,1.3333333333333333,5.333333333333334,1.3333333333333333,5.333333333333333,35.0,4.75,1.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
50,1100.0,1100.0,1.6666666666666663,6.666666666666666,1.6666666666666667,6.666666666666667,62.333333333333336,4.75,1.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
50,1100.0,1100.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,1.6666666666666667,15.0,4.75,1.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
45,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,4.75,1.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
43,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,4.75,1.73,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
40,1100.0,1100.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.0,4.75,1.73,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
45,1100.0,1100.0,0.3333333333333333,4.0,0.3333333333333333,4.0,34.666666666666664,4.75,1.73,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
43,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,4.75,1.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
46,1100.0,1100.0,1.0,1.3333333333333333,1.0,1.3333333333333333,38.66666666666666,4.75,1.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
49,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,4.75,1.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
43,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,4.75,1.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
43,1100.0,1100.0,0.0,0.6666666666666666,0.0,0.6666666666666666,10.0,4.75,1.73,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
46,1100.0,1100.0,1.0,1.3333333333333333,1.0,1.3333333333333333,18.0,4.75,1.73,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
47,1100.0,1100.0,4.666666666666667,21.0,4.666666666666667,21.0,90.0,4.75,1.73,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
47,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,4.75,1.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
45,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,4.75,1.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
40,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,4.75,1.73,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
48,1100.0,1100.0,1.6666666666666663,8.333333333333334,1.6666666666666667,8.333333333333334,70.0,4.75,1.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
45,1100.0,1100.0,4.0,12.999999999999998,4.0,13.0,54.0,4.75,1.73,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
45,1100.0,1100.0,0.6666666666666666,9.0,0.6666666666666666,9.0,47.333333333333336,4.75,1.73,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
44,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,4.75,1.73,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
72,1100.0,1100.0,4.666666666666667,12.0,4.666666666666667,12.0,90.0,4.75,1.73,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
54,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,4.75,1.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
47,1100.0,1100.0,0.6666666666666666,2.333333333333333,0.6666666666666666,2.333333333333333,12.0,4.75,1.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
40,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,4.75,1.73,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
45,1100.0,1100.0,1.3333333333333333,15.333333333333334,1.3333333333333333,15.333333333333334,90.0,4.75,1.73,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
