gameweek,player_id,team_id,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,position_id,kickoff_time,home_or_away_id,opposition_id,recent_points,recent_minutes,win_odds,>2.5,fpl_points,over_four_fpl_points
6,149,5,1130,1185,1100,1120,1160,1250,4,13,1,3,0,0,1.36,1.36,0,0
6,150,5,1130,1185,1100,1120,1160,1250,2,13,1,3,2,90,1.36,1.36,0,0
6,151,5,1130,1185,1100,1120,1160,1250,2,13,1,3,7,141,1.36,1.36,1,0
6,152,5,1130,1185,1100,1120,1160,1250,1,13,1,3,4,180,1.36,1.36,2,0
6,153,5,1130,1185,1100,1120,1160,1250,2,13,1,3,2,180,1.36,1.36,2,0
6,154,5,1130,1185,1100,1120,1160,1250,4,13,1,3,2,115,1.36,1.36,2,0
6,155,5,1130,1185,1100,1120,1160,1250,4,13,1,3,0,0,1.36,1.36,0,0
6,156,6,1070,1080,1080,1060,1060,1060,3,19,1,14,0,0,4.2,1.62,0,0
6,157,6,1070,1080,1080,1060,1060,1060,2,19,1,14,1,180,4.2,1.62,2,0
6,158,6,1070,1080,1080,1060,1060,1060,3,19,1,14,0,0,4.2,1.62,0,0
6,159,6,1070,1080,1080,1060,1060,1060,3,19,1,14,1,45,4.2,1.62,1,0
6,160,6,1070,1080,1080,1060,1060,1060,2,19,1,14,-1,73,4.2,1.62,1,0
6,161,6,1070,1080,1080,1060,1060,1060,3,19,1,14,5,45,4.2,1.62,2,0
6,162,6,1070,1080,1080,1060,1060,1060,3,19,1,14,0,0,4.2,1.62,0,0
6,163,6,1070,1080,1080,1060,1060,1060,3,19,1,14,1,16,4.2,1.62,0,0
6,164,6,1070,1080,1080,1060,1060,1060,3,19,1,14,0,0,4.2,1.62,0,0
6,165,6,1070,1080,1080,1060,1060,1060,3,19,1,14,6,180,4.2,1.62,2,0
6,166,6,1070,1080,1080,1060,1060,1060,2,19,1,14,0,0,4.2,1.62,0,0
6,167,6,1070,1080,1080,1060,1060,1060,2,19,1,14,0,0,4.2,1.62,0,0
6,168,6,1070,1080,1080,1060,1060,1060,4,19,1,14,13,170,4.2,1.62,0,0
6,169,6,1070,1080,1080,1060,1060,1060,1,19,1,14,0,0,4.2,1.62,0,0
6,170,6,1070,1080,1080,1060,1060,1060,3,19,1,14,4,90,4.2,1.62,1,0
6,171,6,1070,1080,1080,1060,1060,1060,2,19,1,14,0,0,4.2,1.62,0,0
6,172,6,1070,1080,1080,1060,1060,1060,1,19,1,14,0,0,4.2,1.62,0,0
6,173,6,1070,1080,1080,1060,1060,1060,2,19,1,14,1,180,4.2,1.62,0,0
6,174,6,1070,1080,1080,1060,1060,1060,4,19,1,14,0,0,4.2,1.62,0,0
6,175,6,1070,1080,1080,1060,1060,1060,1,19,1,14,0,0,4.2,1.62,0,0
6,176,6,1070,1080,1080,1060,1060,1060,2,19,1,14,1,180,4.2,1.62,2,0
6,177,6,1070,1080,1080,1060,1060,1060,4,19,1,14,1,9,4.2,1.62,1,0
6,178,6,1070,1080,1080,1060,1060,1060,2,19,1,14,0,0,4.2,1.62,2,0
6,179,6,1070,1080,1080,1060,1060,1060,2,19,1,14,0,0,4.2,1.62,0,0
6,180,6,1070,1080,1080,1060,1060,1060,3,19,1,14,0,0,4.2,1.62,0,0
6,181,6,1070,1080,1080,1060,1060,1060,1,19,1,14,0,0,4.2,1.62,0,0
6,182,6,1070,1080,1080,1060,1060,1060,2,19,1,14,0,0,4.2,1.62,0,0
6,183,6,1070,1080,1080,1060,1060,1060,4,19,1,14,0,0,4.2,1.62,0,0
6,184,6,1070,1080,1080,1060,1060,1060,3,19,1,14,0,0,4.2,1.62,0,0
6,185,7,1125,1170,1100,1180,1160,1180,2,13,1,2,0,0,1.91,1.73,0,0
6,186,7,1125,1170,1100,1180,1160,1180,3,14,0,0,0,0,NULL,NULL,0,0
6,187,7,1125,1170,1100,1180,1160,1180,1,13,1,2,0,0,1.91,1.73,0,0
6,188,7,1125,1170,1100,1180,1160,1180,4,13,1,2,0,0,1.91,1.73,0,0
6,189,7,1125,1170,1100,1180,1160,1180,2,13,1,2,0,0,1.91,1.73,0,0
6,190,7,1125,1170,1100,1180,1160,1180,2,13,1,2,0,0,1.91,1.73,0,0
6,191,7,1125,1170,1100,1180,1160,1180,2,13,1,2,0,0,1.91,1.73,0,0
6,192,7,1125,1170,1100,1180,1160,1180,1,13,1,2,0,0,1.91,1.73,0,0
6,193,10,1095,1100,1050,1110,1060,1140,4,13,0,0,0,0,NULL,NULL,1,0
6,194,7,1125,1170,1100,1180,1160,1180,2,13,1,2,0,0,1.91,1.73,0,0
6,195,7,1125,1170,1100,1180,1160,1180,2,13,1,2,8,206,1.91,1.73,0,0
6,196,7,1125,1170,1100,1180,1160,1180,3,13,1,2,5,45,1.91,1.73,0,0
6,197,7,1125,1170,1100,1180,1160,1180,2,13,1,2,9,270,1.91,1.73,2,0
6,198,7,1125,1170,1100,1180,1160,1180,2,13,1,2,0,0,1.91,1.73,0,0
6,199,7,1125,1170,1100,1180,1160,1180,3,13,1,2,4,270,1.91,1.73,3,0
6,200,6,1070,1080,1080,1060,1060,1060,4,13,0,0,0,0,NULL,NULL,0,0
6,201,7,1125,1170,1100,1180,1160,1180,2,13,1,2,0,0,1.91,1.73,0,0
6,202,7,1125,1170,1100,1180,1160,1180,3,13,1,2,6,225,1.91,1.73,2,0
6,203,7,1125,1170,1100,1180,1160,1180,2,13,1,2,17,248,1.91,1.73,-2,0
6,204,15,1130,1290,1100,1300,1160,1280,2,15,2,17,0,0,1.44,1.67,1,0
6,205,16,1065,1100,1050,1120,1080,1100,3,14,2,13,0,0,15.0,1.4,1,0
6,206,7,1125,1170,1100,1180,1160,1180,2,13,1,2,0,0,1.91,1.73,0,0
6,207,7,1125,1170,1100,1180,1160,1180,4,13,1,2,0,0,1.91,1.73,0,0
6,208,7,1125,1170,1100,1180,1160,1180,3,13,1,2,2,43,1.91,1.73,0,0
6,209,14,1130,1220,1160,1200,1100,1190,3,19,2,6,2,84,1.73,1.62,0,0
6,210,7,1125,1170,1100,1180,1160,1180,3,13,1,2,2,58,1.91,1.73,3,0
6,211,7,1125,1170,1100,1180,1160,1180,4,13,1,2,9,262,1.91,1.73,1,0
6,212,7,1125,1170,1100,1180,1160,1180,4,13,1,2,0,0,1.91,1.73,0,0
6,213,7,1125,1170,1100,1180,1160,1180,3,13,1,2,0,0,1.91,1.73,0,0
6,214,7,1125,1170,1100,1180,1160,1180,2,13,1,2,0,0,1.91,1.73,0,0
6,215,7,1125,1170,1100,1180,1160,1180,1,13,1,2,0,0,1.91,1.73,0,0
6,216,7,1125,1170,1100,1180,1160,1180,3,13,1,2,23,270,1.91,1.73,2,0
6,217,7,1125,1170,1100,1180,1160,1180,2,13,1,2,9,270,1.91,1.73,2,0
6,218,7,1125,1170,1100,1180,1160,1180,3,13,1,2,0,0,1.91,1.73,0,0
6,219,8,1095,1100,1110,1150,1090,1085,3,14,1,10,2,35,1.91,2.0,0,0
6,220,8,1095,1100,1110,1150,1090,1085,2,14,1,10,14,270,1.91,2.0,6,1
6,221,8,1095,1100,1110,1150,1090,1085,3,14,1,10,8,270,1.91,2.0,2,0
6,222,8,1095,1100,1110,1150,1090,1085,2,14,1,10,0,0,1.91,2.0,0,0
6,223,8,1095,1100,1110,1150,1090,1085,3,14,1,10,5,270,1.91,2.0,2,0
6,224,8,1095,1100,1110,1150,1090,1085,3,14,1,10,0,0,1.91,2.0,0,0
6,225,8,1095,1100,1110,1150,1090,1085,4,14,1,10,17,249,1.91,2.0,2,0
6,226,8,1095,1100,1110,1150,1090,1085,3,14,1,10,12,270,1.91,2.0,3,0
6,227,8,1095,1100,1110,1150,1090,1085,1,14,1,10,0,0,1.91,2.0,0,0
6,228,8,1095,1100,1110,1150,1090,1085,2,14,1,10,5,270,1.91,2.0,8,1
6,229,8,1095,1100,1110,1150,1090,1085,3,14,1,10,1,1,1.91,2.0,3,0
6,230,8,1095,1100,1110,1150,1090,1085,1,14,1,10,5,270,1.91,2.0,8,1
6,231,8,1095,1100,1110,1150,1090,1085,3,14,1,10,6,270,1.91,2.0,0,0
6,232,8,1095,1100,1110,1150,1090,1085,4,14,1,10,8,38,1.91,2.0,1,0
6,233,8,1095,1100,1110,1150,1090,1085,1,14,1,10,0,0,1.91,2.0,0,0
6,234,8,1095,1100,1110,1150,1090,1085,2,14,1,10,8,270,1.91,2.0,5,1
6,235,8,1095,1100,1110,1150,1090,1085,2,14,1,10,0,0,1.91,2.0,0,0
6,236,8,1095,1100,1110,1150,1090,1085,3,14,1,10,0,0,1.91,2.0,0,0
6,237,8,1095,1100,1110,1150,1090,1085,4,14,1,10,0,0,1.91,2.0,0,0
6,238,8,1095,1100,1110,1150,1090,1085,2,14,1,10,0,0,1.91,2.0,0,0
6,239,8,1095,1100,1110,1150,1090,1085,3,14,1,10,0,0,1.91,2.0,0,0
6,240,8,1095,1100,1110,1150,1090,1085,3,14,1,10,6,213,1.91,2.0,3,0
6,241,8,1095,1100,1110,1150,1090,1085,2,14,1,10,0,0,1.91,2.0,0,0
6,242,8,1095,1100,1110,1150,1090,1085,2,14,1,10,4,262,1.91,2.0,6,1
6,243,8,1095,1100,1110,1150,1090,1085,1,14,1,10,0,0,1.91,2.0,0,0
6,244,9,1095,1100,1110,1140,1080,1110,3,16,2,4,0,0,4.2,1.95,0,0
6,245,9,1095,1100,1110,1140,1080,1110,2,16,2,4,1,180,4.2,1.95,1,0
6,246,9,1095,1100,1110,1140,1080,1110,4,16,2,4,1,37,4.2,1.95,5,1
6,247,9,1095,1100,1110,1140,1080,1110,2,16,2,4,0,0,4.2,1.95,0,0
6,248,9,1095,1100,1110,1140,1080,1110,3,16,2,4,0,0,4.2,1.95,0,0
6,249,9,1095,1100,1110,1140,1080,1110,3,16,2,4,12,270,4.2,1.95,7,1
6,250,9,1095,1100,1110,1140,1080,1110,3,16,2,4,5,254,4.2,1.95,7,1
6,251,9,1095,1100,1110,1140,1080,1110,3,16,2,4,0,0,4.2,1.95,0,0
6,252,9,1095,1100,1110,1140,1080,1110,2,16,2,4,1,1,4.2,1.95,0,0
6,253,9,1095,1100,1110,1140,1080,1110,3,16,2,4,0,0,4.2,1.95,0,0
6,254,9,1095,1100,1110,1140,1080,1110,3,16,2,4,4,225,4.2,1.95,2,0
6,255,17,1045,1060,1050,1050,1040,1070,2,16,0,0,0,0,NULL,NULL,0,0
6,256,10,1095,1100,1050,1110,1060,1140,3,14,2,8,1,50,4.2,2.0,1,0
6,257,9,1095,1100,1110,1140,1080,1110,2,16,2,4,0,91,4.2,1.95,0,0
6,258,4,1120,1155,1120,1130,1120,1180,4,16,1,9,1,39,1.8,1.95,0,0
6,259,9,1095,1100,1110,1140,1080,1110,3,16,2,4,1,15,4.2,1.95,5,1
6,260,9,1095,1100,1110,1140,1080,1110,2,16,2,4,0,0,4.2,1.95,2,0
